순번,현장명,공정률,공사규모,재해일자,발생형태,기인물(대),기인물(중),기인물(소),기인물상세,소업종명,규모,직종,연령,성별,근속기간,재해요일,재해시간,재해개요,시설물(대),근로자수
12,Masan City household waste treatment facility construction project,Less than 80 ~ 90%,Less than 15 billion to 20 billion won,20090405,fall,"Buildings, structures and surfaces",Other buildings and structures,"Steel beams, trusses","steel frame, truss",Architectural construction work,50 to 99 people,Architectural finishing related skills,57,other,less than 1 month,sunday,14:00,"The worker fell while working on H-beam painting from a height of approximately 25 meters at the construction site of a domestic waste treatment facility (incinerator) in Masan City around 14:00 on April 5, 2009 and died on the spot.",Environmental treatment facility,54
13,Okcheon factory roof removal and installation work as well as waste work,less than 5%,Less than 200 million to 300 million won,20091020,fall,"Buildings, structures and surfaces",Scaffolding and work scaffolding,fat,Scaffolding lacking detailed information,Architectural construction work,16 to 29 people,unclassifiable,59,other,less than 1 month,tuesday,10 o'clock,"2009. 10.20. (Tuesday) Around 10:00, the roof of the factory was burned by a fire on the mobile scaffolding (2nd stage) at a waste construction site other than the roof demolition and installation work at the Entech Okcheon factory located at 130-4 Dongan-ri, Okcheon-eup, Okcheon-gun, Chungcheongbuk-do. It was a disaster in which a person lost his balance and fell to the floor 3.4 meters below the ground while removing debris from the lower part of his body.",Environmental treatment facility,17
14,Hanwha Resort/Seorak main building demolition and waste disposal work,Less than 40 to 50%,Less than 1 billion to 2 billion won,20100330,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","Other roofs, beams",Architectural construction work,30 to 49 people,unclassifiable,50,other,3 months to less than 4 months,tuesday,07:00,Falling during work to dismantle panels inside the machine room located on the rooftop as preparatory work for demolition of the elevator at the Hanwha Resort main building remodeling site.,Environmental treatment facility,42
15,CCK Yongsan Waste Storage Facility Construction,Less than 10 to 20%,Less than 100 million to 200 million won,20090811,Electric shock,"Parts, Accessories and Materials","Electrical equipment, parts","Electrical equipment, parts",Electric motors (motors),Architectural construction work,5 to 9 people,simple laborer,61,other,less than 1 month,tuesday,14:00,"The deceased was found lying on the construction site at the time of the disaster mentioned above by a fellow worker and was taken to a medical institution, but he died around 21:20. (According to the ruling, “In this case on August 11, 2009, an underwater motor was used at the construction site. Work was done to scoop out rainwater that had accumulated in the puddle. There was a boiler room with electrical facilities and telephone poles at a close distance of about 3m to 10m. The soil was wet at the time, and the victim's job was to scoop out the water that had accumulated in the puddle. Therefore, it is reasonable to believe that there was a significant causal relationship between death and work based on the fact that the environment was not objectively impossible for an electric shock to occur and based on the autopsy findings, etc.)",Environmental treatment facility,5
16,"Demolition work and waste disposal at 302-4, Sindorim-dong",Less than 70 to 80%,Less than 20 million to 40 million won,20130213,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","roof, beam",Architectural construction work,less than 5 people,Simple construction and mining workers,47,other,less than 1 month,wednesday,15 o'clock,"On the morning of February 13, 2013, the victim was cleaning the roof for roof repair work caused by falling objects at a demolition construction site located at 302-4, Sindorim-dong, Guro-gu, Seoul. The victim suddenly disappeared and heard a bang. He quickly went there and found the victim. He was bleeding, so he urgently called 119 and was transported to Korea University Guro Hospital, where he died around 15:41 the same day.",Environmental treatment facility,1
17,Samsan-myeon Sonjuk Rural Village household waste treatment facility installation construction,Less than 80 ~ 90%,Less than 1 billion to 2 billion won,20131217,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","roof, beam",Other construction work,5 to 9 people,Construction-related technicians,50,other,less than 1 month,tuesday,15 o'clock,"The deceased worked as a panel worker at the construction site of a comprehensive rural waste treatment facility in Sonjuk, Samsan-myeon, on December 17, 2013. At around 15:19, while installing the roof sandwich panel at the top of the steel frame structure of the incineration building, the deceased lost his balance and fell to a rock 12 meters below, dying on the day of the disaster.",Environmental treatment facility,7
18,"Asbestos (threat) work and waste disposal at Gyosung Trading Co., Ltd.",over 90,Less than 10 million won,20140928,fall,"Buildings, structures and surfaces",Other buildings and structures,"roof, beam","roof, beam",Other construction work,less than 5 people,Construction-related technicians,39,other,1 month to less than 2 months,sunday,13 o'clock,"2014. 9. 28. 13:45 At the site of Gyosung General Trading Company, 80 Seoseong-ro, Jung-gu, Daegu, the victim *** fell from a roof of about 3.5 meters high while dismantling roof slates and was transported to Seodaegu Hospital by a 119 ambulance vehicle and was in critical condition after surgery. Died around 20:30 on October 4, 2014 while receiving medical treatment in the room.",Environmental treatment facility,1
19,Daegu City Waste-to-Energy Facility BTO Project (Daegu),over 90,Less than 50 billion to 100 billion won,20160727,Traffic accident outside the workplace,Transportation,land transportation,Detailed information Lack of land transportation,Detailed information Lack of land transportation,Architectural construction work,200 ~ 299 people,Construction-related technicians,57,other,6 months to less than 1 year,wednesday,06:00,"A separator motor was damaged in the equipment at the Daegu waste-to-energy facility construction site under construction by GS Engineering & Construction, so the company urgently went up to the Bukyang-dong factory in Hwaseong-si, Gyeonggi-do to find motor parts and while on the way back to the Daegu site, a collision occurred near Mokcheon on the Gyeongbu Expressway.",Environmental treatment facility,254
20,Cheongna District 5 and Namcheongna JCT section landfill waste maintenance work,Less than 40 to 50%,Less than 30 billion to 50 billion won,20160719,stuck,Equipment/Machines,General manufacturing and processing equipment and machinery,"Compound, ceramic earth and stone processing machinery","sorter, sorter",Architectural construction work,50 to 99 people,Simple construction and mining workers,66,other,3 months to less than 4 months,tuesday,09:00,"2016.07.19. Around 09:30, Jeong-il Choi of POSBELL Co., Ltd. at the 'Cheongna District 5 and Namcheongna JCT Section Landfill Waste Maintenance Work' site being constructed by Kyungnam Enterprises Co., Ltd. located in Gyeongseo-dong, Seo-gu, Incheon, inspects the waste sorter conveyor installed in the Namcheongna IHP 2 tool sorting facility. While working inside, the field team leader, Woo-seok Jeong, started the machine without noticing that the victim was inside the conveyor, causing the victim's body to get caught in the gear teeth and die.",Environmental treatment facility,66
21,Mokdong 1st section apartment construction,Less than 20 to 30%,unclassifiable,19840817,unclassifiable,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,less than 5 people,,45,other,1 month to less than 2 months,friday,16:00,,Residential and commercial facilities,1
22,Songtan Seojeong Union and Apartment Construction Project,Less than 60 ~ 70%,unclassifiable,19841118,unclassifiable,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,less than 5 people,Other service-related simple employees,46,other,less than 1 month,sunday,16:00,,Residential and commercial facilities,1
23,Bukahyeon-dong Citizen Apartment Reconstruction,Less than 60 ~ 70%,unclassifiable,19980120,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,200 ~ 299 people,Other service-related simple employees,54,other,6 months to less than 1 year,tuesday,11 o'clock,"It causes symptoms of paralysis, including vomiting, and dizziness at the Doosan Engineering & Construction Bulahyeon Apartment site.",Residential and commercial facilities,1
24,Dalseong Myeonggok Apartment Construction Section 2,Less than 50 to 60%,Less than 12 billion to 15 billion won,19981107,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Other service-related simple employees,43,other,less than 1 month,Saturday,09:00,"***(Person) While working on the scaffolding made of plywood etc. on the frame scaffolding to do PVC pipe joint work in the basement of building 103 at the Myeonggok Jugong Apartment site in Dalseong Lee, he slipped on the scaffolding and fell to the workshop floor.",Residential and commercial facilities,1
25,Taejeon-ri Seongwon Apartment 2nd construction,Less than 50 to 60%,unclassifiable,19991120,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,,55,other,2 months to less than 3 months,Saturday,04:00,"The victim, who was working night security, was taken to the hospital after a co-worker saw him vomiting and collapsing in front of the security office at the main gate at the Seongwon Apartment site in Taejeon-ri, Gwangju.",Residential and commercial facilities,1
26,Seongseong Rose Hill 2nd Apartment Construction,Less than 30 to 40%,Less than 500 million to 1 billion won,20010910,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,10 to 15 people,Other service-related simple employees,68,other,less than 1 month,monday,08:00,"During the rebar arrangement work, I lost my balance at the Rose Hill 2nd Apartment construction site and hit the foundation rebar arrangement.",Residential and commercial facilities,1
27,Haeundae New Hansenville Apartment Construction,Less than 10 to 20%,Less than 30 billion to 50 billion won,20011211,hit by object,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,30 to 49 people,unclassifiable,62,other,less than 1 month,tuesday,16:00,"At the construction site of Saehan Sensorville Apartment in Haeundae, Euroform fell from the upper slab of the parking lot and hit the victim's neck and shoulder while he was transporting materials from the underground parking lot.",Residential and commercial facilities,1
28,Yeoksam-dong 673-16 multi-family construction,Less than 10 to 20%,Less than 300 million to 500 million won,20010813,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,10 to 15 people,Construction-related technicians,47,other,less than 1 month,monday,10 o'clock,"I fell while going to order materials from my main customer, Soybean Lumber Mill, following the instructions of the site manager.",Residential and commercial facilities,1
29,Chuncheon Hupyeong-dong Segyeong Rental Apartment Corporation,Less than 60 ~ 70%,Less than 20 billion to 30 billion won,20020827,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Architectural and civil engineering technicians and testers,53,other,5 to less than 10 years,tuesday,06:00,"I was in the office at the new construction site of Hupyeong 6th Apartment in Chuncheon, and while I was receiving a report on the site's expected process, my complexion was strange and my posture was unnatural, so while I was moving to the sofa, I couldn't stand up and fell down.",Residential and commercial facilities,1
30,Yongin Guseong Samsung Chereville New Construction,over 90,Less than 50 billion to 100 billion won,20011103,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,Architectural finishing related skills,54,other,less than 1 month,Saturday,13 o'clock,"After lunch, he suffered a stroke while working and was evacuated (petition investigated)",Residential and commercial facilities,1
31,Daechi-dong multi-family housing construction,Less than 20 to 30%,Less than 300 million to 500 million won,20030108,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,5 to 9 people,Construction-related technicians,44,other,less than 1 month,wednesday,13 o'clock,"The victim was grounded at a multi-family construction site in Daechi-dong. While raising the safety scaffolding (frame scaffolding) on ​​the external scaffolding, he fell to the ground 2.8 meters below.",Residential and commercial facilities,1
32,Yangju rental apartment new construction,Less than 60 ~ 70%,Less than 30 billion to 50 billion won,20030513,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,200 ~ 299 people,Security guards and ticket inspectors,60,other,6 months to less than 1 year,tuesday,11 o'clock,"***While spraying water on the entrance to the site at the entrance to the security office at the Iyangju Daebang Shine Hill Apartment construction site, he felt pain in his body and head and was taken to the hospital.",Residential and commercial facilities,1
33,Wondang District 2nd Geumho Bestville new construction,Less than 40 to 50%,Less than 20 billion to 30 billion won,20031211,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Simple construction and mining workers,59,other,6 months to less than 1 year,thursday,11 o'clock,"***At the new construction site of Geumho Apartments in Dangha-dong, Iseo-gu, chest pain lasted for several days, but as work continued without rest due to the completion of construction.***At the new construction site of Geumho Apartments in Dangha-dong, Iseo-gu, chest pain lasted for several days, but construction was completed. As he continued to work without taking a break, his symptoms worsened and he was diagnosed with acute myocardial infarction and applied for medical treatment (duty: organizing materials and cleaning work).",Residential and commercial facilities,1
34,Guseo-dong APT,Less than 50 to 60%,More than 100 billion won,20040826,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"1,000 ~ 1,999 people",Architectural and civil engineering technicians and testers,28,other,5 months to less than 6 months,thursday,04:00,"On August 26, 2004, a disaster victim who was sleeping at home was found dead by his family around 05:10 on the same day.",Residential and commercial facilities,1
35,Bucheon Sosa Apartment Section 2 Construction (40%),Less than 60 ~ 70%,Less than 12 billion to 15 billion won,20050530,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,50 to 99 people,plumber,49,other,less than 1 month,monday,12 o'clock,"Bucheon Sosa Apartments, Section 2, Building 402, front of the pilota and the upper ramp of Parking Lot-1. The deceased fell down and became stiff on the way to Parking Lot-1 to rest after lunch, and employees and workers took emergency measures. Around 12:08, the 119 ambulance was called. At around 12:18, the 119 emergency team arrived and transported the patient to Sejong Hospital for treatment. June 24, 2005. 16:33 Death occurred due to brain stem compression as a direct cause, pontine hemorrhage as an intermediate cause, and intraparenchymal hemorrhage.",Residential and commercial facilities,1
36,Daewoo Bene City residential-commercial complex construction,Less than 50 to 60%,More than 100 billion won,20050720,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,500 ~ 999 people,Construction-related technicians,58,other,less than 1 month,wednesday,15 o'clock,"While organizing materials on the third floor of the site, the victim fell into the duct opening while lifting plywood that had covered the duct opening, resulting in a disaster.",Residential and commercial facilities,1
37,Changjeon-dong area housing association apartment,Less than 10 to 20%,Less than 30 billion to 50 billion won,20050914,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,"Construction, electrical and production managers",48,other,less than 1 month,wednesday,18:00,"While leaving work after completing the tower crane basic concrete pouring work at the site above, a Hanjin employee found him unconscious in the restroom on the first floor of the main office, sitting on the toilet and leaning his head against the door. The patient was transported to Chung-Ang University Hospital via a nearby hospital, where he underwent surgery. He received intensive treatment, but died around 13:00 on September 19th.",Residential and commercial facilities,164
38,02Goyang Pung-dong (B2BL) district apartment construction work,Less than 80 ~ 90%,Less than 20 billion to 30 billion won,20051022,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,Construction-related technicians,70,other,less than 1 month,Saturday,10 o'clock,"At around 10:10 on October 22, 2005, the victim suddenly collapsed while working in room 103 of building 203 at the Goyang Punggongtonkin Apartment construction site. Kang Hyeong-geun, general manager of Taesung Construction Co., Ltd., who was an eyewitness, found the victim and transported him to 119.",Residential and commercial facilities,1
39,Goyang City Pungdong C2 Block Doosan We’ve New Construction,Less than 70 to 80%,unclassifiable,20060222,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"2,000 people or more","Construction, electrical and production managers",50,other,6 months to less than 1 year,wednesday,07:00,"As the head of a subcontractor, while giving work instructions to an excavator operator on the road in front of a commercial building at the Doosan We've Apartment new construction site in the Pungdong residential development district, he suddenly sat down and fell backwards, causing his limbs to stiffen. Construction workers nearby were providing artificial respiration and massaging his limbs. He was transported to the same hospital by hospital ambulance, but he was already dead. Cause of death: Dilated cardiomyopathy according to the autopsy report.",Residential and commercial facilities,1
40,Siheung Samcheolli Villa Reconstruction Apartment Construction,Less than 60 ~ 70%,Less than 15 billion to 20 billion won,20060503,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,100 ~ 199 people,unclassifiable,71,other,less than 1 month,wednesday,15 o'clock,"2006.05.03. While loosening the control pin with a hammer to dismantle a pipe support at a construction site in Siheung-dong around 15:00, he lost his balance and fell from the first floor of the elevator pit to the first basement floor.",Residential and commercial facilities,1
41,the#Haeundae Adelis new construction,Less than 80 ~ 90%,More than 100 billion won,20060707,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"1,000 ~ 1,999 people",unclassifiable,51,other,6 months to less than 1 year,friday,14:00,"On July 7, 2006, around 14:00, while cleaning and organizing the floor in the bathroom on the 2nd floor of the public area of ​​Building 101 at the Haeundae Busan Adelis construction site, the victim suddenly became dizzy and sat down, causing difficulty in breathing. The foreman confirmed this and transported him to Suyeong Hospital in Suyeong-dong. As a result of the CT scan, he was found to have cerebral hemorrhage and was transported back to Anak-dong, Dongrae-gu, where he is undergoing surgery.",Residential and commercial facilities,1
42,"Royal Palace new construction in Gungnae-dong, Bundang-gu",Less than 30 to 40%,Less than 1 billion to 2 billion won,20061109,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,16 to 29 people,Simple construction and mining workers,50,other,5 months to less than 6 months,thursday,09:00,"While organizing materials outside the temporary fence during the new construction at 353 Gungnae-dong, Bundang-gu, I climbed on top of the beam to help remove the earthen plate hanging over the beam in the site. While I was removing the earthen plate by myself, I could not overcome the weight of the earthen plate and fell.",Residential and commercial facilities,17
43,Cheongju-si Sannam 3 residential land development district 1-2BL apartment new construction,over 90,Less than 50 billion to 100 billion won,20061221,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,simple laborer,60,other,1 month to less than 2 months,thursday,13 o'clock,"Victim ‘***’ died on December 21, 2006. 2006.11.13:40 minutes #3 While coming down from the mobile frame scaffolding to remove foreign substances from the ceiling of the underground parking lot and move to the side, he lost his footing from a height of about 1m and fell backwards, hitting his head on the concrete floor. Hyosung Hospital. Jae-jae Lim died at the same hospital around 1:55 a.m. on December 23, 2006 after failing to recover while receiving treatment due to his illness name “right cerebral dural hematoma, brain parenchymal and intraparenchymal hemorrhage, brain contusion, and skull fracture.”",Residential and commercial facilities,1
44,Apartment construction work in Jangji district complex 6,Less than 50 to 60%,Less than 12 billion to 15 billion won,20061118,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,50 to 99 people,Construction-related technicians,62,other,less than 1 month,Saturday,17:00,"2006. 11. 18. Around 17:00, while working on formwork installation on the first basement floor of a new apartment construction site in Jangji Complex 6, 294-3 Jangji-dong, Songpa-gu, Seoul, the end assembly form tipped in the direction of the victim, and while trying to avoid it, he fell 6 meters down. died",Residential and commercial facilities,62
45,Banpo Jugongjae Construction Apartment,Less than 10 to 20%,More than 100 billion won,20061027,Traffic accident at work,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"2,000 people or more",unclassifiable,57,other,less than 1 month,friday,09:00,"'Mang' *** is a disaster in which he died after being struck by a Gyeonggi 89ba 7360 vehicle belonging to Jeonchayeon Logistics Branch (Byungsoo Lee), which was reversing downhill on a downhill road to go to the bathroom while working at the reconstruction site of Banpo Jugong Complex 3, Seocho-gu, Seoul.",Residential and commercial facilities,2723
46,Gongseria Apartment new construction,over 90,Less than 2 billion to 5 billion won,20061107,hit by object,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,10 to 15 people,Architectural finishing related skills,40,female,1 month to less than 2 months,tuesday,11 o'clock,"While dismantling the work scaffolding installed on the external double rope scaffolding on the rooftop floor (9th floor), the scaffolding fell to the ground floor, hitting the victim who was working on sand sieving for plastering work on the ground, killing him.",Residential and commercial facilities,1
47,Cheongju Sajik Doosan We’ve Zenith Construction,Less than 20 to 30%,More than 100 billion won,20061220,"Work-related diseases (brain, heart, etc.)",Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,"Electrical, electronic and mechanical engineering technicians and testers",59,other,6 months to less than 1 year,wednesday,16:00,"On December 20, 2006, at around 16:20, the victim reported that he had a headache while working to check the wiring connection status of Tower Unit 3 at the Doosan We've Zenith new construction site in Sajik, Cheongju. He came to the directly managed container to go to the hospital, sat on a chair, placed his hand on his head, and complained of the pain in his head. Lim Hong-jae, a direct worker, witnessed the complaining and immediately transported him to the emergency room of Chungbuk National University Hospital. He vomited during the examination and was found to have cerebral hemorrhage as a result of a CT scan. His symptoms worsened while he was hospitalized, and Jae-jae Lim died at the same hospital around 19:20 on December 26, 2006.",Residential and commercial facilities,466
48,Hwaseong Hyangnam Poonglim I-One Apartment Construction Construction,Less than 20 to 30%,Less than 50 billion to 100 billion won,20061207,hit,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,300 ~ 499 people,Construction-related technicians,51,other,1 month to less than 2 months,thursday,10 o'clock,"***During the pouring of ready-mixed concrete at this company's workplace, the support leg on the right side of the pump car broke away from the footboard, the rear support leg rose from the ground, and the boom struck the victim's head and chest, resulting in his death.",Residential and commercial facilities,446
49,Hwaseong Dongtan District Moa Miraedo Apartment Construction,Less than 50 to 60%,Less than 50 billion to 100 billion won,20061221,fall,Not applicable,Not applicable,Not applicable,Not applicable,Other construction work,200 ~ 299 people,Construction-related technicians,46,other,3 months to less than 4 months,thursday,13 o'clock,***He died after falling from the 11th floor while working to remove safety nets at his workplace.,Residential and commercial facilities,253
50,Hwanghak-dong redevelopment APT new construction,Less than 50 to 60%,More than 100 billion won,20060815,fall,Not applicable,Not applicable,Not applicable,Not applicable,Architectural construction work,"1,000 ~ 1,999 people",Construction-related technicians,51,other,less than 1 month,tuesday,13 o'clock,"While tent installation work was stopped due to rain, he fell to the bottom of an underground trench about 20 meters below and died at the scene.",Residential and commercial facilities,1133
